precision,recall,f1-score,support,top_5_acc,top_5_precision,top_5_recall,top_5_f1
0.4,0.36,0.3789473684210526,50.0,,,,
0.7435897435897436,0.58,0.6516853932584269,50.0,,,,
0.288135593220339,0.34,0.3119266055045872,50.0,,,,
0.7,0.56,0.6222222222222222,50.0,,,,
0.6481481481481481,0.7,0.673076923076923,50.0,,,,
0.5319148936170213,0.5,0.5154639175257731,50.0,,,,
0.5625,0.54,0.5510204081632654,50.0,,,,
0.6181818181818182,0.68,0.6476190476190475,50.0,,,,
0.5434782608695652,0.5,0.5208333333333334,50.0,,,,
0.5789473684210527,0.66,0.616822429906542,50.0,,,,
0.4166666666666667,0.4,0.4081632653061225,50.0,,,,
0.5116279069767442,0.44,0.4731182795698925,50.0,,,,
0.717391304347826,0.66,0.6875,50.0,,,,
0.5370370370370371,0.58,0.5576923076923077,50.0,,,,
0.26,0.26,0.26,50.0,,,,
0.4791666666666667,0.46,0.46938775510204084,50.0,,,,
0.30303030303030304,0.2,0.24096385542168675,50.0,,,,
0.4411764705882353,0.6,0.5084745762711865,50.0,,,,
0.30434782608695654,0.14,0.19178082191780824,50.0,,,,
0.6666666666666666,0.68,0.6732673267326733,50.0,,,,
0.4782608695652174,0.44,0.4583333333333333,50.0,,,,
0.48,0.48,0.48,50.0,,,,
0.4,0.48,0.4363636363636364,50.0,,,,
0.4444444444444444,0.4,0.4210526315789474,50.0,,,,
0.4666666666666667,0.28,0.35000000000000003,50.0,,,,
0.75,0.84,0.7924528301886793,50.0,,,,
0.5833333333333334,0.7,0.6363636363636365,50.0,,,,
0.6296296296296297,0.68,0.6538461538461539,50.0,,,,
0.6333333333333333,0.76,0.6909090909090909,50.0,,,,
0.5405405405405406,0.4,0.45977011494252873,50.0,,,,
0.423728813559322,0.5,0.4587155963302752,50.0,,,,
0.7777777777777778,0.7,0.7368421052631577,50.0,,,,
0.6153846153846154,0.8,0.6956521739130435,50.0,,,,
0.47540983606557374,0.58,0.5225225225225224,50.0,,,,
0.6226415094339622,0.66,0.6407766990291262,50.0,,,,
0.46808510638297873,0.44,0.4536082474226804,50.0,,,,
0.803921568627451,0.82,0.8118811881188118,50.0,,,,
0.6909090909090909,0.76,0.7238095238095238,50.0,,,,
0.5633802816901409,0.8,0.6611570247933886,50.0,,,,
0.8571428571428571,0.84,0.8484848484848485,50.0,,,,
0.8333333333333334,0.8,0.816326530612245,50.0,,,,
0.8863636363636364,0.78,0.8297872340425532,50.0,,,,
0.7428571428571429,0.52,0.6117647058823529,50.0,,,,
0.8363636363636363,0.92,0.8761904761904761,50.0,,,,
0.8181818181818182,0.9,0.8571428571428572,50.0,,,,
0.8260869565217391,0.76,0.7916666666666667,50.0,,,,
0.8333333333333334,1.0,0.9090909090909091,50.0,,,,
0.7307692307692307,0.76,0.7450980392156863,50.0,,,,
0.8214285714285714,0.92,0.8679245283018867,50.0,,,,
0.75,0.66,0.702127659574468,50.0,,,,
0.7884615384615384,0.82,0.803921568627451,50.0,,,,
0.8181818181818182,0.9,0.8571428571428572,50.0,,,,
0.8367346938775511,0.82,0.8282828282828283,50.0,,,,
0.8863636363636364,0.78,0.8297872340425532,50.0,,,,
0.7454545454545455,0.82,0.780952380952381,50.0,,,,
0.7209302325581395,0.62,0.6666666666666666,50.0,,,,
0.86,0.86,0.8599999999999999,50.0,,,,
0.5714285714285714,0.64,0.6037735849056605,50.0,,,,
0.8490566037735849,0.9,0.8737864077669903,50.0,,,,
0.5686274509803921,0.58,0.5742574257425743,50.0,,,,
0.5769230769230769,0.6,0.5882352941176471,50.0,,,,
0.6271186440677966,0.74,0.6788990825688074,50.0,,,,
0.6511627906976745,0.56,0.6021505376344087,50.0,,,,
0.5857142857142857,0.82,0.6833333333333333,50.0,,,,
0.6190476190476191,0.52,0.5652173913043478,50.0,,,,
0.7307692307692307,0.76,0.7450980392156863,50.0,,,,
0.725,0.58,0.6444444444444445,50.0,,,,
0.803921568627451,0.82,0.8118811881188118,50.0,,,,
0.6097560975609756,0.5,0.5494505494505494,50.0,,,,
0.5957446808510638,0.56,0.577319587628866,50.0,,,,
0.5333333333333333,0.48,0.505263157894737,50.0,,,,
0.6229508196721312,0.76,0.6846846846846847,50.0,,,,
0.6595744680851063,0.62,0.6391752577319586,50.0,,,,
0.8947368421052632,0.68,0.7727272727272727,50.0,,,,
0.5892857142857143,0.66,0.6226415094339622,50.0,,,,
0.38636363636363635,0.34,0.36170212765957455,50.0,,,,
0.5490196078431373,0.56,0.5544554455445545,50.0,,,,
0.5245901639344263,0.64,0.5765765765765766,50.0,,,,
0.515625,0.66,0.5789473684210525,50.0,,,,
0.64,0.64,0.64,50.0,,,,
0.18421052631578946,0.14,0.1590909090909091,50.0,,,,
0.5333333333333333,0.64,0.5818181818181818,50.0,,,,
0.625,0.4,0.48780487804878053,50.0,,,,
0.7037037037037037,0.76,0.7307692307692308,50.0,,,,
0.7906976744186046,0.68,0.7311827956989247,50.0,,,,
0.7540983606557377,0.92,0.8288288288288288,50.0,,,,
0.8541666666666666,0.82,0.836734693877551,50.0,,,,
0.7346938775510204,0.72,0.7272727272727272,50.0,,,,
0.7407407407407407,0.8,0.7692307692307692,50.0,,,,
0.76,0.76,0.76,50.0,,,,
0.7837837837837838,0.58,0.6666666666666666,50.0,,,,
0.7962962962962963,0.86,0.826923076923077,50.0,,,,
0.7962962962962963,0.86,0.826923076923077,50.0,,,,
0.8113207547169812,0.86,0.8349514563106797,50.0,,,,
0.8085106382978723,0.76,0.7835051546391754,50.0,,,,
0.8490566037735849,0.9,0.8737864077669903,50.0,,,,
0.7333333333333333,0.66,0.6947368421052631,50.0,,,,
0.8163265306122449,0.8,0.8080808080808082,50.0,,,,
0.7659574468085106,0.72,0.7422680412371133,50.0,,,,
0.7884615384615384,0.82,0.803921568627451,50.0,,,,
0.6938775510204082,0.68,0.686868686868687,50.0,,,,
0.8936170212765957,0.84,0.8659793814432989,50.0,,,,
0.7962962962962963,0.86,0.826923076923077,50.0,,,,
0.8125,0.78,0.7959183673469388,50.0,,,,
0.8035714285714286,0.9,0.8490566037735849,50.0,,,,
0.8695652173913043,0.8,0.8333333333333333,50.0,,,,
0.6428571428571429,0.54,0.5869565217391305,50.0,,,,
0.5,0.44,0.46808510638297873,50.0,,,,
0.813953488372093,0.7,0.7526881720430109,50.0,,,,
0.515625,0.66,0.5789473684210525,50.0,,,,
0.6153846153846154,0.64,0.6274509803921569,50.0,,,,
0.423728813559322,0.5,0.4587155963302752,50.0,,,,
0.7037037037037037,0.76,0.7307692307692308,50.0,,,,
0.7735849056603774,0.82,0.796116504854369,50.0,,,,
0.6774193548387096,0.42,0.5185185185185185,50.0,,,,
0.35802469135802467,0.58,0.44274809160305345,50.0,,,,
0.6271186440677966,0.74,0.6788990825688074,50.0,,,,
0.6037735849056604,0.64,0.6213592233009708,50.0,,,,
0.41333333333333333,0.62,0.496,50.0,,,,
0.34146341463414637,0.28,0.3076923076923077,50.0,,,,
0.5932203389830508,0.7,0.6422018348623852,50.0,,,,
0.68,0.34,0.4533333333333334,50.0,,,,
0.5510204081632653,0.54,0.5454545454545455,50.0,,,,
0.7777777777777778,0.14,0.23728813559322035,50.0,,,,
0.5555555555555556,0.5,0.5263157894736842,50.0,,,,
0.7446808510638298,0.7,0.7216494845360825,50.0,,,,
0.425,0.34,0.3777777777777778,50.0,,,,
0.5384615384615384,0.56,0.5490196078431373,50.0,,,,
0.559322033898305,0.66,0.6055045871559633,50.0,,,,
0.6190476190476191,0.52,0.5652173913043478,50.0,,,,
0.5918367346938775,0.58,0.5858585858585857,50.0,,,,
0.6285714285714286,0.44,0.5176470588235295,50.0,,,,
0.5178571428571429,0.58,0.5471698113207547,50.0,,,,
0.576271186440678,0.68,0.6238532110091743,50.0,,,,
0.6206896551724138,0.72,0.6666666666666666,50.0,,,,
0.5869565217391305,0.54,0.5625000000000001,50.0,,,,
0.40816326530612246,0.4,0.4040404040404041,50.0,,,,
0.7380952380952381,0.62,0.6739130434782609,50.0,,,,
0.54,0.54,0.54,50.0,,,,
0.7111111111111111,0.64,0.6736842105263158,50.0,,,,
0.43859649122807015,0.5,0.46728971962616817,50.0,,,,
0.5,0.54,0.5192307692307693,50.0,,,,
