precision,recall,f1-score,support,top_5_acc,top_5_precision,top_5_recall,top_5_f1
0.37142857142857144,0.26,0.30588235294117644,50.0,,,,
0.43902439024390244,0.36,0.3956043956043956,50.0,,,,
0.2777777777777778,0.1,0.14705882352941177,50.0,,,,
0.5652173913043478,0.52,0.5416666666666667,50.0,,,,
0.3448275862068966,0.4,0.3703703703703704,50.0,,,,
0.423728813559322,0.5,0.4587155963302752,50.0,,,,
0.34285714285714286,0.24,0.2823529411764706,50.0,,,,
0.5609756097560976,0.46,0.5054945054945056,50.0,,,,
0.24444444444444444,0.22,0.23157894736842105,50.0,,,,
0.47058823529411764,0.32,0.38095238095238104,50.0,,,,
0.423728813559322,0.5,0.4587155963302752,50.0,,,,
0.2727272727272727,0.42,0.33070866141732286,50.0,,,,
0.3090909090909091,0.34,0.32380952380952377,50.0,,,,
0.43333333333333335,0.52,0.4727272727272728,50.0,,,,
0.43333333333333335,0.26,0.325,50.0,,,,
0.5,0.32,0.39024390243902435,50.0,,,,
0.32142857142857145,0.18,0.23076923076923075,50.0,,,,
0.3275862068965517,0.38,0.35185185185185186,50.0,,,,
0.4878048780487805,0.4,0.43956043956043955,50.0,,,,
0.41818181818181815,0.46,0.43809523809523804,50.0,,,,
0.1875,0.12,0.14634146341463414,50.0,,,,
0.42857142857142855,0.18,0.2535211267605634,50.0,,,,
0.14285714285714285,0.1,0.11764705882352941,50.0,,,,
0.3225806451612903,0.4,0.3571428571428571,50.0,,,,
0.2,0.06,0.09230769230769231,50.0,,,,
0.5135135135135135,0.38,0.4367816091954023,50.0,,,,
0.32051282051282054,0.5,0.39062500000000006,50.0,,,,
0.5,0.3,0.37499999999999994,50.0,,,,
0.3333333333333333,0.32,0.32653061224489793,50.0,,,,
0.21212121212121213,0.42,0.2818791946308725,50.0,,,,
0.25,0.26,0.2549019607843137,50.0,,,,
0.5517241379310345,0.64,0.5925925925925927,50.0,,,,
0.4444444444444444,0.64,0.5245901639344263,50.0,,,,
0.5,0.48,0.4897959183673469,50.0,,,,
0.5333333333333333,0.8,0.64,50.0,,,,
0.3142857142857143,0.22,0.25882352941176473,50.0,,,,
0.4,0.52,0.45217391304347826,50.0,,,,
0.6363636363636364,0.56,0.5957446808510639,50.0,,,,
0.5961538461538461,0.62,0.607843137254902,50.0,,,,
0.41818181818181815,0.46,0.43809523809523804,50.0,,,,
0.44642857142857145,0.5,0.47169811320754723,50.0,,,,
0.325,0.26,0.2888888888888889,50.0,,,,
0.532258064516129,0.66,0.5892857142857142,50.0,,,,
0.43243243243243246,0.64,0.5161290322580645,50.0,,,,
0.47692307692307695,0.62,0.5391304347826087,50.0,,,,
0.7407407407407407,0.8,0.7692307692307692,50.0,,,,
0.6304347826086957,0.58,0.6041666666666666,50.0,,,,
0.6829268292682927,0.56,0.6153846153846154,50.0,,,,
0.7352941176470589,0.5,0.5952380952380952,50.0,,,,
0.5714285714285714,0.8,0.6666666666666666,50.0,,,,
0.6363636363636364,0.7,0.6666666666666666,50.0,,,,
0.56,0.56,0.56,50.0,,,,
0.6610169491525424,0.78,0.7155963302752293,50.0,,,,
0.5909090909090909,0.52,0.5531914893617023,50.0,,,,
0.6923076923076923,0.72,0.7058823529411765,50.0,,,,
0.6086956521739131,0.28,0.3835616438356165,50.0,,,,
0.5576923076923077,0.58,0.5686274509803922,50.0,,,,
0.6617647058823529,0.9,0.7627118644067796,50.0,,,,
0.7073170731707317,0.58,0.6373626373626374,50.0,,,,
0.7241379310344828,0.42,0.5316455696202531,50.0,,,,
0.6521739130434783,0.6,0.6250000000000001,50.0,,,,
0.4444444444444444,0.32,0.37209302325581395,50.0,,,,
0.48148148148148145,0.78,0.5954198473282443,50.0,,,,
0.5098039215686274,0.52,0.5148514851485149,50.0,,,,
0.86,0.86,0.8599999999999999,50.0,,,,
0.6097560975609756,0.5,0.5494505494505494,50.0,,,,
0.41379310344827586,0.24,0.3037974683544304,50.0,,,,
0.5918367346938775,0.58,0.5858585858585857,50.0,,,,
0.39285714285714285,0.44,0.4150943396226415,50.0,,,,
0.463768115942029,0.64,0.5378151260504201,50.0,,,,
0.5641025641025641,0.44,0.49438202247191015,50.0,,,,
0.5737704918032787,0.7,0.6306306306306306,50.0,,,,
0.39285714285714285,0.44,0.4150943396226415,50.0,,,,
0.7083333333333334,0.68,0.6938775510204083,50.0,,,,
0.36666666666666664,0.22,0.27499999999999997,50.0,,,,
0.4489795918367347,0.44,0.4444444444444445,50.0,,,,
0.5652173913043478,0.26,0.3561643835616438,50.0,,,,
0.46,0.46,0.46,50.0,,,,
0.42857142857142855,0.42,0.42424242424242425,50.0,,,,
0.6041666666666666,0.58,0.5918367346938774,50.0,,,,
0.42592592592592593,0.46,0.4423076923076923,50.0,,,,
0.4444444444444444,0.24,0.3116883116883117,50.0,,,,
0.4444444444444444,0.4,0.4210526315789474,50.0,,,,
0.46551724137931033,0.54,0.5,50.0,,,,
0.32,0.48,0.38399999999999995,50.0,,,,
0.48214285714285715,0.54,0.5094339622641509,50.0,,,,
0.18181818181818182,0.08,0.1111111111111111,50.0,,,,
0.3888888888888889,0.56,0.45901639344262296,50.0,,,,
0.3448275862068966,0.2,0.2531645569620254,50.0,,,,
0.4925373134328358,0.66,0.5641025641025641,50.0,,,,
0.3728813559322034,0.44,0.40366972477064217,50.0,,,,
0.6346153846153846,0.66,0.6470588235294118,50.0,,,,
0.74,0.74,0.74,50.0,,,,
